name,PKG,DRAM,TIME,AV_POWER
prefetch_list_events,391.70688299999165,23.10681399999885,15.22055002200068,25.73539605558245
naive_list_events,1050.5973470000026,57.624792000002344,41.32573794099153,25.42234934800527
optimized_list_events,86.62245900000562,5.12034800001129,3.3727643259917386,25.682926711618034
prefetch_list_events,392.58517700000084,23.168459000007715,15.203959162987303,25.821246478727385
naive_list_events,1098.6697339999955,58.410799999997835,41.84364360300242,26.25655032395798
optimized_list_events,90.18250900000567,5.143296999987797,3.3862873120087897,26.631676727545077
prefetch_list_events,402.4117499999993,23.83032199999434,15.556397583990474,25.867926544519054
naive_list_events,1062.9862920000014,57.513220000008005,41.26801215899468,25.758117156324317
optimized_list_events,86.56404800000018,5.031908000004478,3.3475469480035827,25.858949656143118
prefetch_list_events,399.6553479999857,23.37811399999191,15.359332810010528,26.020358627785455
naive_list_events,1093.8496169999999,58.11948000000848,41.637817196999094,26.270580223375287
optimized_list_events,87.35207100000116,5.176683999990928,3.4075282019912265,25.635025103814552
prefetch_list_events,393.43368499999633,23.949523999996018,15.630200008003158,25.171378792244873
naive_list_events,1094.8461349999998,58.10245099999884,41.670544292996055,26.273862114731735
optimized_list_events,87.2451379999984,5.077197000005981,3.363675238986616,25.937443956772412
prefetch_list_events,395.39174900000216,24.24334600000293,15.750092893998954,25.104089967028255
naive_list_events,1055.7020090000005,57.63364100000763,41.388727019002545,25.506993933766136
optimized_list_events,85.28786799999943,5.032579999999143,3.352278236998245,25.44176287597457
prefetch_list_events,400.5728270000109,23.832213999994565,15.49381242399977,25.85372896211957
naive_list_events,1051.9062420000118,58.689303000006475,42.11882981698727,24.974726187092674
optimized_list_events,87.15486699999019,5.119860000006156,3.3768155300058424,25.80978031685355
prefetch_list_events,400.6369139999879,23.3056660000002,15.32824747399718,26.137163735099385
naive_list_events,1070.0870429999923,57.956517000013264,41.508114940996165,25.78018887441943
optimized_list_events,87.2829180000117,5.0804320000024745,3.3765239079948515,25.849933357008172
prefetch_list_events,396.1840439999942,23.232973000005586,15.294609771997784,25.903507830932032
naive_list_events,1096.9661849999975,58.53158799999801,41.86996131700289,26.19935988702556
optimized_list_events,89.95240700000431,5.074695000002976,3.360934450000059,26.764106333583133
prefetch_list_events,398.28920199999993,23.86370899999747,15.500428751998697,25.69536677807333
naive_list_events,1064.845846000011,57.628819999998086,41.302597971996875,25.781570610206547
optimized_list_events,87.37062600000354,5.117846000008285,3.3815441240003565,25.83749399568513
prefetch_list_events,402.2963949999976,24.009581999998773,15.562801138992654,25.84987056038662
naive_list_events,1059.614963,57.24655799999891,41.19410375400912,25.722490998408368
optimized_list_events,88.0991389999981,5.1605710000003455,3.392834751997725,25.9662333829034
prefetch_list_events,391.8213850000029,24.015503000002354,15.668691172992112,25.006644184511057
naive_list_events,1084.761261000007,58.51706199999899,41.970273878003354,25.845941919586352
optimized_list_events,88.51759499999753,5.082994999989751,3.361464886009344,26.333041695129424
prefetch_list_events,394.5631379999977,24.14123500000278,15.734157033992233,25.076852680927203
naive_list_events,1089.6059749999986,58.03427499999816,41.598164765004185,26.19360688519281
optimized_list_events,87.53285699999833,5.051867000001948,3.3312760179978795,26.276074551338496
prefetch_list_events,397.8217960000038,23.901245000000927,15.484345265998854,25.691870671054904
naive_list_events,1053.2816659999953,58.113681999995606,41.82607346698933,25.1824180156735
optimized_list_events,88.1682320000109,5.1316400000068825,3.3774760469968896,26.104768997075908
prefetch_list_events,396.06404899999325,23.764770000008866,15.408418402003008,25.704393446929448
naive_list_events,1063.2616210000124,57.374975000013364,41.20780737500172,25.802431352972903
optimized_list_events,87.0712499999936,4.986376000000746,3.3093962660059333,26.310312516632752
prefetch_list_events,389.8196200000093,23.686157000003732,15.512515690003056,25.12936185142595
naive_list_events,1101.0828749999928,58.57211500000267,41.902590330995736,26.27720306316031
optimized_list_events,90.29481300000043,5.112536000000546,3.3583802850043867,26.886417063361986
prefetch_list_events,392.01810100000876,23.108279000007315,15.19490556200617,25.79931144687226
naive_list_events,1061.8510419999948,58.57156599999871,41.92807976200129,25.325534773532187
optimized_list_events,89.46491999999853,5.1404899999906775,3.3711037089960882,26.53876229356382
prefetch_list_events,407.6597839999886,24.293088999998872,15.752083031009533,25.87973813986823
naive_list_events,1061.6444990000018,57.48404499999015,41.276756926003145,25.720152891449594
optimized_list_events,86.37911299998814,4.936572000005981,3.2918134219944477,26.240585940515626
prefetch_list_events,392.4095789999992,23.300720999992336,15.254245040996466,25.724614882308558
naive_list_events,1065.9850639999931,57.84994899999583,41.38132427899109,25.760051969655883
optimized_list_events,89.48573299999407,5.065476999996463,3.3385996100114426,26.80337370544633
prefetch_list_events,396.7469090000086,23.90759300001082,15.625589778996073,25.39084377687401
naive_list_events,1053.673450000002,58.62289700000838,42.08154408200062,25.038849523838785
optimized_list_events,86.63527600000089,4.969713999991654,3.297295006006607,26.274651143491678
prefetch_list_events,393.0710149999941,23.247804999991786,15.245913360995473,25.78205750569271
naive_list_events,1080.1203429999878,58.43832700001076,41.876440581996576,25.793031308022645
optimized_list_events,87.72127200000978,5.081285000007483,3.3459149150003213,26.21742459939432
prefetch_list_events,396.5204700000031,23.44635099999141,15.364007883996237,25.80840058101211
naive_list_events,1066.4430100000027,58.79031599999871,42.08702310100489,25.338998375832855
optimized_list_events,87.50947999999335,5.068591000002925,3.341949272013153,26.185161077348912
prefetch_list_events,396.39461499999743,23.54187100000854,15.379036558995722,25.774996598738998
naive_list_events,1066.5243699999992,57.67014000000199,41.31156373099657,25.81660614313113
